 ['c_000000000699', 'polyA_site_00006_+_readcount_7', 'ORF_000009', '+', 'no'],
 ['c_000000000699', 'polyA_site_00113_+_readcount_2', 'ORF_000213-c', '+', 'no'],
 ['c_000000000699', 'polyA_site_00114_+_readcount_1', 'ORF_000218-c', '+', 'no'],
 ['c_000000000699', 'polyA_site_00115_+_readcount_26', 'ORF_000218-c', '+', 'no'],
 ['c_000000000699', 'polyA_site_00121_+_readcount_7', 'ORF_000228', '+', 'no'],
 ['c_000000000699', 'polyA_site_00132_+_readcount_8', 'ORF_000240', '+', 'no'],
 ['c_000000000699', 'polyA_site_00138_+_readcount_8', 'ORF_000256', '+', 'no'],
 ['c_000000000699', 'polyA_site_00154_+_readcount_1', 'ORF_000268', '+', 'no'],
 ['c_000000000699', 'polyA_site_00160_+_readcount_2', 'ORF_000276', '+', 'no'],
 ['c_000000000699', 'polyA_site_00184_+_readcount_2', 'ORF_000314', '+', 'no'],
 ['c_000000000699', 'polyA_site_00186_+_readcount_1', 'ORF_000323', '+', 'no'],
 ['c_000000000699', 'polyA_site_00199_+_readcount_1', 'ORF_000360', '+', 'no'],
 ['c_000000000699', 'polyA_site_00201_+_readcount_9', 'ORF_000372', '+', 'no'],
 ['c_000000000699', 'polyA_site_00203_+_readcount_3', 'ORF_000373', '+', 'no'],
 ['c_000000000699', 'polyA_site_00213_+_readcount_2', 'ORF_000396-b', '+', 'no'],
 ['c_000000000699', 'polyA_site_00228_+_readcount_1', 'ORF_000415-b', '+', 'no'],
 ['c_000000000699', 'polyA_site_00242_+_readcount_3', 'ORF_000438', '+', 'no'],
 ['c_000000000699', 'polyA_site_00243_+_readcount_3', 'ORF_000440', '+', 'no'],
 ['c_000000000699', 'polyA_site_00246_+_readcount_1', 'ORF_000442-b', '+', 'no'],
 ['c_000000000699', 'polyA_site_00254_+_readcount_2', 'ORF_000455', '+', 'no'],
 ['c_000000000699', 'polyA_site_00261_+_readcount_2', 'ORF_000466', '+', 'no'],
 ['c_000000000699', 'polyA_site_00282_+_readcount_2', 'ORF_000503-a', '+', 'no'],
 ['c_000000000699', 'polyA_site_00284_+_readcount_7', 'ORF_000505-b', '+', 'no'],
 ['c_000000000012', 'polyA_site_00292_+_readcount_9', 'ORF_000532-b', '+', 'no'],
 ['c_000000000012', 'polyA_site_00293_+_readcount_1', 'ORF_000535', '+', 'no'],
 ['c_000000000012', 'polyA_site_00304_+_readcount_2', 'ORF_000563', '+', 'no'],
 ['c_000000000012', 'polyA_site_00305_+_readcount_1', 'ORF_000566', '+', 'no'],
 ['c_000000000012', 'polyA_site_00307_+_readcount_1', 'ORF_000573', '+', 'no'],
 ['c_000000000012', 'polyA_site_00322_+_readcount_1', 'ORF_000599-b', '+', 'no'],
 ['c_000000000012', 'polyA_site_00337_+_readcount_1', 'ORF_000632', '+', 'no'],
 ['c_000000000012', 'polyA_site_00340_+_readcount_3', 'ORF_000636', '+', 'no'],
 ['c_000000000012', 'polyA_site_00344_+_readcount_2', 'ORF_000641-b', '+', 'no'],
 ['c_000000000012', 'polyA_site_00350_+_readcount_1', 'ORF_000652', '+', 'no'],
 ['c_000000000012', 'polyA_site_00352_+_readcount_4', 'ORF_000657', '+', 'no'],
 ['c_000000000012', 'polyA_site_00369_+_readcount_7', 'ORF_000719', '+', 'no'],
 ['c_000000000012', 'polyA_site_00375_+_readcount_1', 'ORF_000727', '+', 'no'],
 ['c_000000000012', 'polyA_site_00377_+_readcount_1', 'ORF_000736', '+', 'no'],
 ['c_000000000012', 'polyA_site_00378_+_readcount_1', 'ORF_000736', '+', 'no'],
 ['c_000000000012', 'polyA_site_00385_+_readcount_6', 'ORF_000748', '+', 'no'],
 ['c_000000000012', 'polyA_site_00396_+_readcount_3', 'ORF_000764-c', '+', 'no'],
 ['c_000000000012', 'polyA_site_00425_+_readcount_1', 'ORF_000824-b', '+', 'no'],
 ['c_000000000012', 'polyA_site_00431_+_readcount_1', 'ORF_000837-c', '+', 'no'],
 ['c_000000000012', 'polyA_site_00433_+_readcount_3', 'ORF_000843', '+', 'no'],
 ['c_000000000012', 'polyA_site_00458_+_readcount_1', 'ORF_000893', '+', 'no'],
 ['c_000000000012', 'polyA_site_00473_+_readcount_1', 'ORF_000922', '+', 'no'],
 ['c_000000000012', 'polyA_site_00481_+_readcount_5', 'ORF_000949', '+', 'no'],
 ['c_000000000012', 'polyA_site_00482_+_readcount_1', 'ORF_000950', '+', 'no'],
 ['c_000000000012', 'polyA_site_00483_+_readcount_3', 'ORF_000951-b', '+', 'no'],
 ['c_000000000012', 'polyA_site_00489_+_readcount_5', 'ORF_000967', '+', 'no'],
 ['c_000000000006', 'polyA_site_00490_+_readcount_1', 'ORF_000975-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00495_+_readcount_1', 'ORF_000988', '+', 'no'],
 ['c_000000000006', 'polyA_site_00519_+_readcount_1', 'ORF_001029', '+', 'no'],
 ['c_000000000006', 'polyA_site_00537_+_readcount_4', 'ORF_001057', '+', 'no'],
 ['c_000000000006', 'polyA_site_00538_+_readcount_3', 'ORF_001058', '+', 'no'],
 ['c_000000000006', 'polyA_site_00540_+_readcount_3', 'ORF_001059-c', '+', 'no'],
 ['c_000000000006', 'polyA_site_00550_+_readcount_7', 'ORF_001081-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00575_+_readcount_2', 'ORF_001107-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00581_+_readcount_1', 'ORF_001114-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00587_+_readcount_6', 'ORF_001128', '+', 'no'],
 ['c_000000000006', 'polyA_site_00589_+_readcount_3', 'ORF_001130', '+', 'no'],
 ['c_000000000006', 'polyA_site_00590_+_readcount_2', 'ORF_001131', '+', 'no'],
 ['c_000000000006', 'polyA_site_00597_+_readcount_3', 'ORF_001136', '+', 'no'],
 ['c_000000000006', 'polyA_site_00607_+_readcount_20', 'ORF_001151-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00610_+_readcount_3', 'ORF_001158', '+', 'no'],
 ['c_000000000006', 'polyA_site_00612_+_readcount_29', 'ORF_001165', '+', 'no'],
 ['c_000000000006', 'polyA_site_00615_+_readcount_1', 'ORF_001174', '+', 'no'],
 ['c_000000000006', 'polyA_site_00621_+_readcount_5', 'ORF_001189-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00624_+_readcount_4', 'ORF_001197', '+', 'no'],
 ['c_000000000006', 'polyA_site_00631_+_readcount_2', 'ORF_001207-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00640_+_readcount_13', 'ORF_001217', '+', 'no'],
 ['c_000000000006', 'polyA_site_00642_+_readcount_2', 'ORF_001218-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00643_+_readcount_1', 'ORF_001219-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00644_+_readcount_10', 'ORF_001223', '+', 'no'],
 ['c_000000000006', 'polyA_site_00659_+_readcount_5', 'ORF_001265', '+', 'no'],
 ['c_000000000006', 'polyA_site_00664_+_readcount_1', 'ORF_001271', '+', 'no'],
 ['c_000000000006', 'polyA_site_00669_+_readcount_2', 'ORF_001276', '+', 'no'],
 ['c_000000000006', 'polyA_site_00675_+_readcount_1', 'ORF_001288', '+', 'no'],
 ['c_000000000006', 'polyA_site_00677_+_readcount_2', 'ORF_001291-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00685_+_readcount_2', 'ORF_001301-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00686_+_readcount_7', 'ORF_001302', '+', 'no'],
 ['c_000000000006', 'polyA_site_00688_+_readcount_6', 'ORF_001303-b', '+', 'no'],
 ['c_000000000006', 'polyA_site_00691_+_readcount_1', 'ORF_001311-c', '+', 'no'],
 ['c_000000000006', 'polyA_site_00700_+_readcount_1', 'ORF_001337', '+', 'no'],
 ['c_000000000006', 'polyA_site_00702_+_readcount_3', 'ORF_001346', '+', 'no'],
 ['c_000000000006', 'polyA_site_00704_+_readcount_1', 'ORF_001349', '+', 'no'],
 ['c_000000000008', 'polyA_site_00757_+_readcount_1', 'ORF_001460', '+', 'no'],
 ['c_000000000008', 'polyA_site_00759_+_readcount_1', 'ORF_001465', '+', 'no'],
 ['c_000000000008', 'polyA_site_00776_+_readcount_2', 'ORF_001479-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00778_+_readcount_5', 'ORF_001482', '+', 'no'],
 ['c_000000000008', 'polyA_site_00779_+_readcount_2', 'ORF_001483-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00781_+_readcount_1', 'ORF_001485', '+', 'no'],
 ['c_000000000008', 'polyA_site_00782_+_readcount_1', 'ORF_001486', '+', 'no'],
 ['c_000000000008', 'polyA_site_00791_+_readcount_1', 'ORF_001500-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00801_+_readcount_1', 'ORF_001528', '+', 'no'],
 ['c_000000000008', 'polyA_site_00804_+_readcount_1', 'ORF_001534-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00808_+_readcount_5', 'ORF_001544', '+', 'no'],
 ['c_000000000008', 'polyA_site_00813_+_readcount_2', 'ORF_001550-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00821_+_readcount_4', 'ORF_001564', '+', 'no'],
 ['c_000000000008', 'polyA_site_00822_+_readcount_1', 'ORF_001564-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00825_+_readcount_2', 'ORF_001573-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00833_+_readcount_2', 'ORF_001593-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00834_+_readcount_5', 'ORF_001593-c', '+', 'no'],
 ['c_000000000008', 'polyA_site_00844_+_readcount_1', 'ORF_001623-c', '+', 'no'],
 ['c_000000000008', 'polyA_site_00854_+_readcount_1', 'ORF_001641-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00860_+_readcount_2', 'ORF_001650-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00862_+_readcount_1', 'ORF_001658', '+', 'no'],
 ['c_000000000008', 'polyA_site_00868_+_readcount_2', 'ORF_001665-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00885_+_readcount_24', 'ORF_001695', '+', 'no'],
 ['c_000000000008', 'polyA_site_00903_+_readcount_14', 'ORF_001721-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00910_+_readcount_3', 'ORF_001732-d', '+', 'no'],
 ['c_000000000008', 'polyA_site_00917_+_readcount_4', 'ORF_001742-c', '+', 'no'],
 ['c_000000000008', 'polyA_site_00919_+_readcount_3', 'ORF_001744-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00922_+_readcount_1', 'ORF_001746-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00937_+_readcount_1', 'ORF_001766-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00947_+_readcount_5', 'ORF_001790', '+', 'no'],
 ['c_000000000008', 'polyA_site_00961_+_readcount_1', 'ORF_001819-a', '+', 'no'],
 ['c_000000000008', 'polyA_site_00962_+_readcount_1', 'ORF_001819-a', '+', 'no'],
 ['c_000000000008', 'polyA_site_00970_+_readcount_10', 'ORF_001844', '+', 'no'],
 ['c_000000000008', 'polyA_site_00974_+_readcount_2', 'ORF_001861-b', '+', 'no'],
 ['c_000000000008', 'polyA_site_00976_+_readcount_11', 'ORF_001865', '+', 'no'],
 ['c_000000000008', 'polyA_site_00978_+_readcount_3', 'ORF_001867-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_00988_+_readcount_1', 'ORF_001883-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_00992_+_readcount_2', 'ORF_001891', '+', 'no'],
 ['c_000000000001', 'polyA_site_00993_+_readcount_6', 'ORF_001894', '+', 'no'],
 ['c_000000000001', 'polyA_site_01007_+_readcount_2', 'ORF_001928-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01014_+_readcount_4', 'ORF_001943-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01015_+_readcount_1', 'ORF_001945-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01020_+_readcount_1', 'ORF_001954-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01024_+_readcount_9', 'ORF_001966', '+', 'no'],
 ['c_000000000001', 'polyA_site_01031_+_readcount_6', 'ORF_001991-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01056_+_readcount_1', 'ORF_002043-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01069_+_readcount_1', 'ORF_002072-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01073_+_readcount_8', 'ORF_002079', '+', 'no'],
 ['c_000000000001', 'polyA_site_01109_+_readcount_2', 'ORF_002173-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01120_+_readcount_7', 'ORF_002195', '+', 'no'],
 ['c_000000000001', 'polyA_site_01121_+_readcount_1', 'ORF_002197', '+', 'no'],
 ['c_000000000001', 'polyA_site_01122_+_readcount_2', 'ORF_002198', '+', 'no'],
 ['c_000000000001', 'polyA_site_01123_+_readcount_1', 'ORF_002198-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01138_+_readcount_4', 'ORF_002220', '+', 'no'],
 ['c_000000000001', 'polyA_site_01141_+_readcount_1', 'ORF_002230', '+', 'no'],
 ['c_000000000001', 'polyA_site_01146_+_readcount_2', 'ORF_002237', '+', 'no'],
 ['c_000000000001', 'polyA_site_01154_+_readcount_1', 'ORF_002252-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01155_+_readcount_38', 'ORF_002255', '+', 'no'],
 ['c_000000000001', 'polyA_site_01158_+_readcount_1', 'ORF_002259-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01159_+_readcount_5', 'ORF_002262', '+', 'no'],
 ['c_000000000001', 'polyA_site_01170_+_readcount_1', 'ORF_002279-b', '+', 'no'],
 ['c_000000000001', 'polyA_site_01177_+_readcount_1', 'ORF_002291', '+', 'no'],
 ['c_000000000009', 'polyA_site_01181_+_readcount_5', 'ORF_002304', '+', 'no'],
 ['c_000000000009', 'polyA_site_01184_+_readcount_1', 'ORF_002309', '+', 'no'],
 ['c_000000000009', 'polyA_site_01187_+_readcount_12', 'ORF_002310-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01201_+_readcount_1', 'ORF_002321-c', '+', 'no'],
 ['c_000000000009', 'polyA_site_01204_+_readcount_5', 'ORF_002324-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01213_+_readcount_1', 'ORF_002340', '+', 'no'],
 ['c_000000000009', 'polyA_site_01215_+_readcount_1', 'ORF_002340-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01243_+_readcount_4', 'ORF_002423', '+', 'no'],
 ['c_000000000009', 'polyA_site_01249_+_readcount_2', 'ORF_002445-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01252_+_readcount_4', 'ORF_002447', '+', 'no'],
 ['c_000000000009', 'polyA_site_01256_+_readcount_1', 'ORF_002455-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01262_+_readcount_3', 'ORF_002470', '+', 'no'],
 ['c_000000000009', 'polyA_site_01265_+_readcount_9', 'ORF_002472', '+', 'no'],
 ['c_000000000009', 'polyA_site_01266_+_readcount_14', 'ORF_002473', '+', 'no'],
 ['c_000000000009', 'polyA_site_01268_+_readcount_3', 'ORF_002475', '+', 'no'],
 ['c_000000000009', 'polyA_site_01287_+_readcount_7', 'ORF_002507', '+', 'no'],
 ['c_000000000009', 'polyA_site_01289_+_readcount_5', 'ORF_002515', '+', 'no'],
 ['c_000000000009', 'polyA_site_01296_+_readcount_1', 'ORF_002528-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01311_+_readcount_56', 'ORF_002559', '+', 'no'],
 ['c_000000000009', 'polyA_site_01326_+_readcount_8', 'ORF_002591', '+', 'no'],
 ['c_000000000009', 'polyA_site_01327_+_readcount_3', 'ORF_002592', '+', 'no'],
 ['c_000000000009', 'polyA_site_01340_+_readcount_2', 'ORF_002619-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01341_+_readcount_1', 'ORF_002622-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01358_+_readcount_1', 'ORF_002656-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01361_+_readcount_2', 'ORF_002675-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01367_+_readcount_13', 'ORF_002687-b', '+', 'no'],
 ['c_000000000009', 'polyA_site_01369_+_readcount_2', 'ORF_002690', '+', 'no'],
 ['c_000000000658', 'polyA_site_01379_+_readcount_3', 'FUN_005920', '+', 'no'],
 ['c_000000000658', 'polyA_site_01381_+_readcount_1', 'FUN_005922', '+', 'no'],
 ['c_000000000658', 'polyA_site_01384_+_readcount_2', 'ORF_002721', '+', 'no'],
 ['c_000000000658', 'polyA_site_01387_+_readcount_1', 'ORF_002726', '+', 'no'],
 ['c_000000000658', 'polyA_site_01392_+_readcount_14', 'ORF_002735-b', '+', 'no'],
 ['c_000000000658', 'polyA_site_01395_+_readcount_4', 'FUN_005955', '+', 'no'],
 ['c_000000000658', 'polyA_site_01405_+_readcount_4', 'ORF_002765', '+', 'no'],
 ['c_000000000658', 'polyA_site_01409_+_readcount_5', 'FUN_006007', '+', 'no'],
 ['c_000000000658', 'polyA_site_01414_+_readcount_2', 'ORF_002803', '+', 'no'],
 ['c_000000000658', 'polyA_site_01418_+_readcount_17', 'ORF_002814', '+', 'no'],
 ['c_000000000658', 'polyA_site_01419_+_readcount_79', 'FUN_006037', '+', 'no'],
 ['c_000000000658', 'polyA_site_01420_+_readcount_1', 'FUN_006039', '+', 'no'],
 ['c_000000000658', 'polyA_site_01421_+_readcount_2', 'ORF_002817', '+', 'no'],
 ['c_000000000658', 'polyA_site_01436_+_readcount_1', 'ORF_002848', '+', 'no'],
 ['c_000000000658', 'polyA_site_01475_+_readcount_6', 'ORF_002930', '+', 'no'],
 ['c_000000000658', 'polyA_site_01501_+_readcount_1', 'FUN_006228', '+', 'no'],
 ['c_000000000658', 'polyA_site_01502_+_readcount_2', 'ORF_002998', '+', 'no'],
 ['c_000000000658', 'polyA_site_01504_+_readcount_1', 'ORF_003001', '+', 'no'],
 ['c_000000000658', 'polyA_site_01507_+_readcount_2', 'ORF_003011', '+', 'no'],
 ['c_000000000658', 'polyA_site_01508_+_readcount_1', 'ORF_003014-a', '+', 'no'],
 ['c_000000000658', 'polyA_site_01513_+_readcount_2', 'ORF_003018', '+', 'no'],
 ['c_000000000658', 'polyA_site_01516_+_readcount_1', 'ORF_003022', '+', 'no'],
 ['c_000000000658', 'polyA_site_01524_+_readcount_7', 'FUN_006301', '+', 'no'],
 ['c_000000000658', 'polyA_site_01525_+_readcount_2', 'FUN_006301', '+', 'no'],
 ['c_000000000658', 'polyA_site_01529_+_readcount_1', 'FUN_006315', '+', 'no'],
 ['c_000000000658', 'polyA_site_01542_+_readcount_1', 'FUN_006337', '+', 'no'],
 ['c_000000000665', 'polyA_site_01559_+_readcount_3', 'ORF_003130', '+', 'no'],
 ['c_000000000665', 'polyA_site_01576_+_readcount_7', 'FUN_006440', '+', 'no'],
 ['c_000000000665', 'polyA_site_01584_+_readcount_2', 'ORF_003181', '+', 'no'],
 ['c_000000000665', 'polyA_site_01592_+_readcount_2', 'ORF_003195-c', '+', 'no'],
 ['c_000000000665', 'polyA_site_01611_+_readcount_2', 'ORF_003227', '+', 'no'],
 ['c_000000000665', 'polyA_site_01613_+_readcount_1', 'ORF_003230', '+', 'no'],
 ['c_000000000665', 'polyA_site_01628_+_readcount_1', 'ORF_003269', '+', 'no'],
 ['c_000000000665', 'polyA_site_01634_+_readcount_1', 'ORF_003279-a', '+', 'no'],
 ['c_000000000665', 'polyA_site_01644_+_readcount_2', 'ORF_003298', '+', 'no'],
 ['c_000000000665', 'polyA_site_01670_+_readcount_1', 'FUN_006671', '+', 'no'],
 ['c_000000000665', 'polyA_site_01673_+_readcount_2', 'FUN_006680', '+', 'no'],
 ['c_000000000665', 'polyA_site_01676_+_readcount_2', 'ORF_003363', '+', 'no'],
 ['c_000000000665', 'polyA_site_01685_+_readcount_1', 'ORF_003379', '+', 'no'],
 ['c_000000000665', 'polyA_site_01686_+_readcount_3', 'ORF_003379', '+', 'no'],
 ['c_000000000665', 'polyA_site_01759_+_readcount_1', 'ORF_003512', '+', 'no'],
 ['c_000000000665', 'polyA_site_01762_+_readcount_1', 'ORF_003514-b', '+', 'no'],
 ['c_000000000665', 'polyA_site_01768_+_readcount_1', 'ORF_003523', '+', 'no'],
 ['c_000000000016', 'polyA_site_01795_+_readcount_1', 'FUN_004123', '+', 'no'],
 ['c_000000000016', 'polyA_site_01799_+_readcount_3', 'ORF_003603', '+', 'no'],
 ['c_000000000016', 'polyA_site_01809_+_readcount_1', 'FUN_004161', '+', 'no'],
 ['c_000000000016', 'polyA_site_01812_+_readcount_1', 'ORF_003630', '+', 'no'],
 ['c_000000000016', 'polyA_site_01813_+_readcount_1', 'ORF_003631', '+', 'no'],
 ['c_000000000016', 'polyA_site_01815_+_readcount_4', 'ORF_003634', '+', 'no'],
 ['c_000000000016', 'polyA_site_01828_+_readcount_1', 'ORF_003668-a', '+', 'no'],
 ['c_000000000016', 'polyA_site_01832_+_readcount_3', 'ORF_003684', '+', 'no'],
 ['c_000000000016', 'polyA_site_01836_+_readcount_5', 'FUN_004240', '+', 'no'],
 ['c_000000000016', 'polyA_site_01837_+_readcount_2', 'FUN_004240', '+', 'no'],
 ['c_000000000016', 'polyA_site_01842_+_readcount_1', 'ORF_003695-b', '+', 'no'],
 ['c_000000000016', 'polyA_site_01867_+_readcount_4', 'ORF_003750-b', '+', 'no'],
 ['c_000000000016', 'polyA_site_01870_+_readcount_3', 'ORF_003754', '+', 'no'],
 ['c_000000000016', 'polyA_site_01871_+_readcount_1', 'ORF_003754', '+', 'no'],
 ['c_000000000016', 'polyA_site_01873_+_readcount_7', 'FUN_004324', '+', 'no'],
 ['c_000000000016', 'polyA_site_01881_+_readcount_5', 'FUN_004338', '+', 'no'],
 ['c_000000000016', 'polyA_site_01883_+_readcount_1', 'FUN_004351', '+', 'no'],
 ['c_000000000016', 'polyA_site_01886_+_readcount_2', 'FUN_004359', '+', 'no'],
 ['c_000000000016', 'polyA_site_01887_+_readcount_5', 'ORF_003792-b', '+', 'no'],
 ['c_000000000016', 'polyA_site_01888_+_readcount_16', 'ORF_003794', '+', 'no'],
 ['c_000000000016', 'polyA_site_01890_+_readcount_2', 'FUN_004380', '+', 'no'],
 ['c_000000000016', 'polyA_site_01892_+_readcount_2', 'ORF_003813', '+', 'no'],
 ['c_000000000016', 'polyA_site_01893_+_readcount_3', 'ORF_003815-a', '+', 'no'],
 ['c_000000000016', 'polyA_site_01894_+_readcount_3', 'ORF_003820', '+', 'no'],
 ['c_000000000016', 'polyA_site_01914_+_readcount_2', 'ORF_003866-b', '+', 'no'],
 ['c_000000000016', 'polyA_site_01917_+_readcount_9', 'ORF_003874-b', '+', 'no'],
 ['c_000000000016', 'polyA_site_01928_+_readcount_6', 'ORF_003887-b', '+', 'no'],
 ['c_000000000016', 'polyA_site_01929_+_readcount_2', 'ORF_003889', '+', 'no'],
 ['c_000000000015', 'polyA_site_01934_+_readcount_3', 'ORF_003913', '+', 'no'],
 ['c_000000000015', 'polyA_site_01937_+_readcount_1', 'ORF_003920-b', '+', 'no'],
 ['c_000000000015', 'polyA_site_01969_+_readcount_1', 'ORF_003967', '+', 'no'],
 ['c_000000000015', 'polyA_site_01971_+_readcount_6', 'ORF_003970', '+', 'no'],
 ['c_000000000015', 'polyA_site_02007_+_readcount_6', 'FUN_003786-uncert-end', '+', 'no'],
 ['c_000000000015', 'polyA_site_02023_+_readcount_1', 'ORF_004083-b', '+', 'no'],
 ['c_000000000015', 'polyA_site_02024_+_readcount_1', 'ORF_004085', '+', 'no'],
 ['c_000000000015', 'polyA_site_02027_+_readcount_12', 'ORF_004092', '+', 'no'],
 ['c_000000000015', 'polyA_site_02033_+_readcount_1', 'FUN_003853', '+', 'no'],
 ['c_000000000015', 'polyA_site_02040_+_readcount_2', 'ORF_004104', '+', 'no'],
 ['c_000000000015', 'polyA_site_02044_+_readcount_2', 'ORF_004114', '+', 'no'],
 ['c_000000000015', 'polyA_site_02057_+_readcount_2', 'ORF_004135', '+', 'no'],
 ['c_000000000015', 'polyA_site_02065_+_readcount_2', 'ORF_004155-b', '+', 'no'],
 ['c_000000000015', 'polyA_site_02068_+_readcount_1', 'ORF_004158', '+', 'no'],
 ['c_000000000015', 'polyA_site_02071_+_readcount_1', 'ORF_004179', '+', 'no'],
 ['c_000000000015', 'polyA_site_02085_+_readcount_1', 'ORF_004216', '+', 'no'],
 ['c_000000000015', 'polyA_site_02087_+_readcount_1', 'FUN_004003', '+', 'no'],
 ['c_000000000015', 'polyA_site_02096_+_readcount_5', 'ORF_004234', '+', 'no'],
 ['c_000000000015', 'polyA_site_02097_+_readcount_1', 'ORF_004235', '+', 'no'],
 ['c_000000000015', 'polyA_site_02104_+_readcount_3', 'ORF_004251', '+', 'no'],
 ['c_000000000015', 'polyA_site_02106_+_readcount_3', 'ORF_004254', '+', 'no'],
 ['c_000000000015', 'polyA_site_02107_+_readcount_1', 'ORF_004254', '+', 'no'],
