[['c_000000000699', 'polyA_site_00001_+_readcount_1', 'FUN_006903', '+'],
 ['c_000000000699', 'polyA_site_00070_+_readcount_2', 'ORF_000128', '+'],
 ['c_000000000699', 'polyA_site_00071_+_readcount_52', 'ORF_000131', '+'],
 ['c_000000000699', 'polyA_site_00072_+_readcount_2', 'ORF_000131', '+'],
 ['c_000000000699', 'polyA_site_00073_+_readcount_29', 'ORF_000134', '+'],
 ['c_000000000699', 'polyA_site_00074_+_readcount_2', 'ORF_000135', '+'],
 ['c_000000000699', 'polyA_site_00075_+_readcount_58', 'ORF_000137', '+'],
 ['c_000000000699', 'polyA_site_00076_+_readcount_4', 'ORF_000138', '+'],
 ['c_000000000699', 'polyA_site_00077_+_readcount_3', 'ORF_000138', '+'],
 ['c_000000000699', 'polyA_site_00081_+_readcount_1', 'ORF_000154', '+'],
 ['c_000000000699', 'polyA_site_00082_+_readcount_6', 'ORF_000158', '+'],
 ['c_000000000699', 'polyA_site_00084_+_readcount_1', 'ORF_000162', '+'],
 ['c_000000000699', 'polyA_site_00085_+_readcount_3', 'ORF_000163', '+'],
 ['c_000000000699', 'polyA_site_00086_+_readcount_1', 'ORF_000163', '+'],
 ['c_000000000699', 'polyA_site_00087_+_readcount_1', 'ORF_000164', '+'],
 ['c_000000000699', 'polyA_site_00094_+_readcount_4', 'ORF_000181', '+'],
 ['c_000000000699', 'polyA_site_00095_+_readcount_53', 'ORF_000184-b', '+'],
 ['c_000000000699', 'polyA_site_00096_+_readcount_2', 'ORF_000185', '+'],
 ['c_000000000699', 'polyA_site_00097_+_readcount_1', 'ORF_000185', '+'],
 ['c_000000000699', 'polyA_site_00098_+_readcount_6', 'ORF_000186', '+'],
 ['c_000000000699', 'polyA_site_00099_+_readcount_1', 'ORF_000186', '+'],
 ['c_000000000699', 'polyA_site_00101_+_readcount_10', 'ORF_000191', '+'],
 ['c_000000000699', 'polyA_site_00102_+_readcount_2', 'ORF_000191', '+'],
 ['c_000000000699', 'polyA_site_00108_+_readcount_10', 'ORF_000204', '+'],
 ['c_000000000699', 'polyA_site_00109_+_readcount_1', 'ORF_000205', '+'],
 ['c_000000000699', 'polyA_site_00110_+_readcount_4', 'ORF_000209', '+'],
 ['c_000000000699', 'polyA_site_00111_+_readcount_13', 'ORF_000212', '+'],
 ['c_000000000699', 'polyA_site_00112_+_readcount_2', 'ORF_000212', '+'],
 ['c_000000000699', 'polyA_site_00113_+_readcount_2', 'ORF_000213-c', '+'],
 ['c_000000000699', 'polyA_site_00115_+_readcount_26', 'ORF_000218-c', '+'],
 ['c_000000000699', 'polyA_site_00116_+_readcount_3', 'ORF_000220', '+'],
 ['c_000000000699', 'polyA_site_00118_+_readcount_1', 'ORF_000222', '+'],
 ['c_000000000699', 'polyA_site_00119_+_readcount_9', 'ORF_000222', '+'],
 ['c_000000000699', 'polyA_site_00120_+_readcount_9', 'ORF_000227', '+'],
 ['c_000000000699', 'polyA_site_00122_+_readcount_14', 'ORF_000229', '+'],
 ['c_000000000699', 'polyA_site_00123_+_readcount_7', 'ORF_000231', '+'],
 ['c_000000000699', 'polyA_site_00124_+_readcount_1', 'ORF_000231', '+'],
 ['c_000000000699', 'polyA_site_00125_+_readcount_70', 'ORF_000231', '+'],
 ['c_000000000699', 'polyA_site_00126_+_readcount_1', 'ORF_000235', '+'],
 ['c_000000000699', 'polyA_site_00127_+_readcount_4', 'ORF_000235', '+'],
 ['c_000000000699', 'polyA_site_00128_+_readcount_1', 'ORF_000236', '+'],
 ['c_000000000699', 'polyA_site_00131_+_readcount_33', 'ORF_000239', '+'],
 ['c_000000000699', 'polyA_site_00133_+_readcount_32', 'ORF_000241', '+'],
 ['c_000000000699', 'polyA_site_00134_+_readcount_15', 'ORF_000250', '+'],
 ['c_000000000699', 'polyA_site_00136_+_readcount_1', 'ORF_000255', '+'],
 ['c_000000000699', 'polyA_site_00139_+_readcount_1', 'ORF_000260', '+'],
 ['c_000000000699', 'polyA_site_00140_+_readcount_4', 'ORF_000260', '+'],
 ['c_000000000699', 'polyA_site_00141_+_readcount_68', 'ORF_000260', '+'],
 ['c_000000000699', 'polyA_site_00142_+_readcount_3', 'ORF_000260', '+'],
 ['c_000000000699', 'polyA_site_00143_+_readcount_32', 'ORF_000261', '+'],
 ['c_000000000699', 'polyA_site_00144_+_readcount_5', 'ORF_000261-b', '+'],
 ['c_000000000699', 'polyA_site_00145_+_readcount_4', 'ORF_000261-b', '+'],
 ['c_000000000699', 'polyA_site_00146_+_readcount_57', 'ORF_000261-b', '+'],
 ['c_000000000699', 'polyA_site_00147_+_readcount_43', 'ORF_000264', '+'],
 ['c_000000000699', 'polyA_site_00148_+_readcount_20', 'ORF_000265', '+'],
 ['c_000000000699', 'polyA_site_00149_+_readcount_1', 'ORF_000265', '+'],
 ['c_000000000699', 'polyA_site_00153_+_readcount_23', 'ORF_000267-b', '+'],
 ['c_000000000699', 'polyA_site_00155_+_readcount_80', 'ORF_000270', '+'],
 ['c_000000000699', 'polyA_site_00156_+_readcount_1', 'ORF_000270', '+'],
 ['c_000000000699', 'polyA_site_00157_+_readcount_1', 'ORF_000271', '+'],
 ['c_000000000699', 'polyA_site_00161_+_readcount_3', 'ORF_000277', '+'],
 ['c_000000000699', 'polyA_site_00162_+_readcount_14', 'ORF_000279-b', '+'],
 ['c_000000000699', 'polyA_site_00163_+_readcount_1', 'ORF_000282', '+'],
 ['c_000000000699', 'polyA_site_00164_+_readcount_9', 'ORF_000287', '+'],
 ['c_000000000699', 'polyA_site_00165_+_readcount_2', 'ORF_000288', '+'],
 ['c_000000000699', 'polyA_site_00166_+_readcount_1', 'ORF_000288', '+'],
 ['c_000000000699', 'polyA_site_00167_+_readcount_7', 'ORF_000288', '+'],
 ['c_000000000699', 'polyA_site_00168_+_readcount_2', 'ORF_000292', '+'],
 ['c_000000000699', 'polyA_site_00169_+_readcount_2', 'ORF_000292', '+'],
 ['c_000000000699', 'polyA_site_00170_+_readcount_17', 'ORF_000293', '+'],
 ['c_000000000699', 'polyA_site_00171_+_readcount_16', 'ORF_000294', '+'],
 ['c_000000000699', 'polyA_site_00172_+_readcount_5', 'ORF_000295', '+'],
 ['c_000000000699', 'polyA_site_00173_+_readcount_1', 'ORF_000296', '+'],
 ['c_000000000699', 'polyA_site_00176_+_readcount_54', 'ORF_000299', '+'],
 ['c_000000000699', 'polyA_site_00177_+_readcount_319', 'ORF_000300-b', '+'],
 ['c_000000000699', 'polyA_site_00178_+_readcount_3', 'ORF_000300-b', '+'],
 ['c_000000000699', 'polyA_site_00179_+_readcount_1', 'ORF_000306', '+'],
 ['c_000000000699', 'polyA_site_00180_+_readcount_10', 'ORF_000306', '+'],
 ['c_000000000699', 'polyA_site_00181_+_readcount_1', 'ORF_000310', '+'],
 ['c_000000000699', 'polyA_site_00182_+_readcount_35', 'ORF_000311', '+'],
 ['c_000000000699', 'polyA_site_00183_+_readcount_14', 'ORF_000312', '+'],
 ['c_000000000699', 'polyA_site_00184_+_readcount_2', 'ORF_000314', '+'],
 ['c_000000000699', 'polyA_site_00185_+_readcount_9', 'ORF_000317', '+'],
 ['c_000000000699', 'polyA_site_00186_+_readcount_1', 'ORF_000323', '+'],
 ['c_000000000699', 'polyA_site_00187_+_readcount_44', 'ORF_000327', '+'],
 ['c_000000000699', 'polyA_site_00189_+_readcount_5', 'ORF_000342', '+'],
 ['c_000000000699', 'polyA_site_00190_+_readcount_2', 'ORF_000344', '+'],
 ['c_000000000699', 'polyA_site_00192_+_readcount_1', 'ORF_000345', '+'],
 ['c_000000000699', 'polyA_site_00193_+_readcount_41', 'ORF_000348', '+'],
 ['c_000000000699', 'polyA_site_00194_+_readcount_16', 'ORF_000349', '+'],
 ['c_000000000699', 'polyA_site_00195_+_readcount_1', 'ORF_000349', '+'],
 ['c_000000000699', 'polyA_site_00196_+_readcount_12', 'ORF_000351', '+'],
 ['c_000000000699', 'polyA_site_00197_+_readcount_4', 'ORF_000354', '+'],
 ['c_000000000699', 'polyA_site_00198_+_readcount_1', 'ORF_000358', '+'],
 ['c_000000000699', 'polyA_site_00200_+_readcount_22', 'ORF_000364', '+'],
 ['c_000000000699', 'polyA_site_00201_+_readcount_9', 'ORF_000372', '+'],
 ['c_000000000699', 'polyA_site_00204_+_readcount_1', 'ORF_000375', '+'],
 ['c_000000000699', 'polyA_site_00205_+_readcount_8', 'ORF_000377', '+'],
 ['c_000000000699', 'polyA_site_00206_+_readcount_13', 'ORF_000378', '+'],
 ['c_000000000699', 'polyA_site_00208_+_readcount_2', 'ORF_000386', '+'],
 ['c_000000000699', 'polyA_site_00209_+_readcount_1', 'ORF_000387', '+'],
 ['c_000000000699', 'polyA_site_00210_+_readcount_1', 'ORF_000387', '+'],
 ['c_000000000699', 'polyA_site_00211_+_readcount_14', 'ORF_000387', '+'],
 ['c_000000000699', 'polyA_site_00212_+_readcount_56', 'ORF_000391', '+'],
 ['c_000000000699', 'polyA_site_00213_+_readcount_2', 'ORF_000396-b', '+'],
 ['c_000000000699', 'polyA_site_00215_+_readcount_17', 'ORF_000399', '+'],
 ['c_000000000699', 'polyA_site_00216_+_readcount_2', 'ORF_000399', '+'],
 ['c_000000000699', 'polyA_site_00217_+_readcount_26', 'ORF_000399-b', '+'],
 ['c_000000000699', 'polyA_site_00218_+_readcount_1', 'ORF_000399-b', '+'],
 ['c_000000000699', 'polyA_site_00219_+_readcount_1', 'ORF_000399-b', '+'],
 ['c_000000000699', 'polyA_site_00220_+_readcount_5', 'ORF_000401', '+'],
 ['c_000000000699', 'polyA_site_00221_+_readcount_3', 'ORF_000403', '+'],
 ['c_000000000699', 'polyA_site_00227_+_readcount_16', 'ORF_000412', '+'],
 ['c_000000000699', 'polyA_site_00228_+_readcount_1', 'ORF_000415-b', '+'],
 ['c_000000000699', 'polyA_site_00230_+_readcount_328', 'ORF_000417-b', '+'],
 ['c_000000000699', 'polyA_site_00231_+_readcount_1', 'ORF_000417-b', '+'],
 ['c_000000000699', 'polyA_site_00232_+_readcount_1', 'ORF_000417-b', '+'],
 ['c_000000000699', 'polyA_site_00233_+_readcount_3', 'ORF_000418', '+'],
 ['c_000000000699', 'polyA_site_00234_+_readcount_14', 'ORF_000418', '+'],
 ['c_000000000699', 'polyA_site_00235_+_readcount_2', 'ORF_000420', '+'],
 ['c_000000000699', 'polyA_site_00236_+_readcount_3', 'ORF_000422', '+'],
 ['c_000000000699', 'polyA_site_00237_+_readcount_5', 'ORF_000424', '+'],
 ['c_000000000699', 'polyA_site_00238_+_readcount_1', 'ORF_000424', '+'],
 ['c_000000000699', 'polyA_site_00239_+_readcount_66', 'ORF_000426', '+'],
 ['c_000000000699', 'polyA_site_00240_+_readcount_2', 'ORF_000431', '+'],
 ['c_000000000699', 'polyA_site_00241_+_readcount_38', 'ORF_000435', '+'],
 ['c_000000000699', 'polyA_site_00242_+_readcount_3', 'ORF_000438', '+'],
 ['c_000000000699', 'polyA_site_00244_+_readcount_4', 'ORF_000441', '+'],
 ['c_000000000699', 'polyA_site_00245_+_readcount_7', 'ORF_000441', '+'],
 ['c_000000000699', 'polyA_site_00247_+_readcount_9', 'ORF_000443', '+'],
 ['c_000000000699', 'polyA_site_00248_+_readcount_1', 'ORF_000444', '+'],
 ['c_000000000699', 'polyA_site_00249_+_readcount_13', 'ORF_000444', '+'],
 ['c_000000000699', 'polyA_site_00250_+_readcount_3', 'ORF_000447', '+'],
 ['c_000000000699', 'polyA_site_00251_+_readcount_49', 'ORF_000448', '+'],
 ['c_000000000699', 'polyA_site_00252_+_readcount_1', 'ORF_000448', '+'],
 ['c_000000000699', 'polyA_site_00253_+_readcount_2', 'ORF_000452', '+'],
 ['c_000000000699', 'polyA_site_00255_+_readcount_3', 'ORF_000456', '+'],
 ['c_000000000699', 'polyA_site_00256_+_readcount_1', 'ORF_000457', '+'],
 ['c_000000000699', 'polyA_site_00258_+_readcount_14', 'ORF_000460-b', '+'],
 ['c_000000000699', 'polyA_site_00259_+_readcount_5', 'ORF_000460-b', '+'],
 ['c_000000000699', 'polyA_site_00260_+_readcount_3', 'ORF_000463', '+'],
 ['c_000000000699', 'polyA_site_00262_+_readcount_12', 'ORF_000468', '+'],
 ['c_000000000699', 'polyA_site_00263_+_readcount_4', 'FUN_007460', '+'],
 ['c_000000000699', 'polyA_site_00264_+_readcount_2', 'ORF_000477', '+'],
 ['c_000000000699', 'polyA_site_00265_+_readcount_53', 'ORF_000479', '+'],
 ['c_000000000699', 'polyA_site_00266_+_readcount_2', 'ORF_000479', '+'],
 ['c_000000000699', 'polyA_site_00267_+_readcount_14', 'ORF_000480', '+'],
 ['c_000000000699', 'polyA_site_00271_+_readcount_55', 'ORF_000482-d', '+'],
 ['c_000000000699', 'polyA_site_00272_+_readcount_1', 'ORF_000482-d', '+'],
 ['c_000000000699', 'polyA_site_00273_+_readcount_2', 'ORF_000483', '+'],
 ['c_000000000699', 'polyA_site_00277_+_readcount_2', 'ORF_000491', '+'],
 ['c_000000000699', 'polyA_site_00278_+_readcount_3', 'ORF_000500-b', '+'],
 ['c_000000000699', 'polyA_site_00279_+_readcount_3', 'ORF_000501', '+'],
 ['c_000000000699', 'polyA_site_00280_+_readcount_16', 'ORF_000502', '+'],
 ['c_000000000699', 'polyA_site_00285_+_readcount_16', 'ORF_000506', '+'],
 ['c_000000000699', 'polyA_site_00287_+_readcount_1', 'ORF_000517', '+'],
 ['c_000000000699', 'polyA_site_00288_+_readcount_39', 'ORF_000519', '+'],
 ['c_000000000012', 'polyA_site_00291_+_readcount_2', 'ORF_000530', '+'],
 ['c_000000000012', 'polyA_site_00296_+_readcount_3', 'ORF_000539', '+'],
 ['c_000000000012', 'polyA_site_00297_+_readcount_2', 'ORF_000543', '+'],
 ['c_000000000012', 'polyA_site_00298_+_readcount_4', 'ORF_000547', '+'],
 ['c_000000000012', 'polyA_site_00300_+_readcount_2', 'ORF_000549-b', '+'],
 ['c_000000000012', 'polyA_site_00301_+_readcount_91', 'ORF_000550', '+'],
 ['c_000000000012', 'polyA_site_00302_+_readcount_3', 'ORF_000557', '+'],
 ['c_000000000012', 'polyA_site_00305_+_readcount_1', 'ORF_000566', '+'],
 ['c_000000000012', 'polyA_site_00308_+_readcount_45', 'ORF_000575', '+'],
 ['c_000000000012', 'polyA_site_00309_+_readcount_1', 'ORF_000575', '+'],
 ['c_000000000012', 'polyA_site_00310_+_readcount_12', 'ORF_000577', '+'],
 ['c_000000000012', 'polyA_site_00312_+_readcount_1', 'ORF_000583', '+'],
 ['c_000000000012', 'polyA_site_00313_+_readcount_3', 'ORF_000584', '+'],
 ['c_000000000012', 'polyA_site_00314_+_readcount_7', 'ORF_000585', '+'],
 ['c_000000000012', 'polyA_site_00315_+_readcount_6', 'ORF_000587', '+'],
 ['c_000000000012', 'polyA_site_00316_+_readcount_1', 'ORF_000588', '+'],
 ['c_000000000012', 'polyA_site_00317_+_readcount_6', 'ORF_000588', '+'],
 ['c_000000000012', 'polyA_site_00318_+_readcount_21', 'ORF_000592', '+'],
 ['c_000000000012', 'polyA_site_00319_+_readcount_1', 'ORF_000593', '+'],
 ['c_000000000012', 'polyA_site_00320_+_readcount_2', 'ORF_000599', '+'],
 ['c_000000000012', 'polyA_site_00321_+_readcount_1', 'ORF_000599', '+'],
 ['c_000000000012', 'polyA_site_00323_+_readcount_11', 'ORF_000606', '+'],
 ['c_000000000012', 'polyA_site_00325_+_readcount_6', 'ORF_000610', '+'],
 ['c_000000000012', 'polyA_site_00326_+_readcount_2', 'ORF_000611', '+'],
 ['c_000000000012', 'polyA_site_00327_+_readcount_2', 'ORF_000612-b', '+'],
 ['c_000000000012', 'polyA_site_00328_+_readcount_60', 'ORF_000612-b', '+'],
 ['c_000000000012', 'polyA_site_00329_+_readcount_1', 'ORF_000613', '+'],
 ['c_000000000012', 'polyA_site_00330_+_readcount_1', 'ORF_000613', '+'],
 ['c_000000000012', 'polyA_site_00331_+_readcount_10', 'ORF_000614', '+'],
 ['c_000000000012', 'polyA_site_00332_+_readcount_2', 'ORF_000616', '+'],
 ['c_000000000012', 'polyA_site_00333_+_readcount_4', 'ORF_000620', '+'],
 ['c_000000000012', 'polyA_site_00334_+_readcount_20', 'ORF_000624', '+'],
 ['c_000000000012', 'polyA_site_00335_+_readcount_2', 'ORF_000627', '+'],
 ['c_000000000012', 'polyA_site_00336_+_readcount_3', 'ORF_000628', '+'],
 ['c_000000000012', 'polyA_site_00338_+_readcount_1', 'ORF_000633', '+'],
 ['c_000000000012', 'polyA_site_00339_+_readcount_3', 'ORF_000635', '+'],
 ['c_000000000012', 'polyA_site_00341_+_readcount_1', 'ORF_000637-b', '+'],
 ['c_000000000012', 'polyA_site_00342_+_readcount_1', 'ORF_000638', '+'],
 ['c_000000000012', 'polyA_site_00343_+_readcount_1', 'ORF_000638', '+'],
 ['c_000000000012', 'polyA_site_00345_+_readcount_1', 'ORF_000644', '+'],
 ['c_000000000012', 'polyA_site_00346_+_readcount_9', 'ORF_000645-b', '+'],
 ['c_000000000012', 'polyA_site_00347_+_readcount_1', 'ORF_000645-b', '+'],
 ['c_000000000012', 'polyA_site_00348_+_readcount_10', 'ORF_000647', '+'],
 ['c_000000000012', 'polyA_site_00349_+_readcount_1', 'ORF_000648', '+'],
 ['c_000000000012', 'polyA_site_00350_+_readcount_1', 'ORF_000652', '+'],
 ['c_000000000012', 'polyA_site_00351_+_readcount_4', 'ORF_000653', '+'],
 ['c_000000000012', 'polyA_site_00354_+_readcount_1', 'ORF_000667', '+'],
 ['c_000000000012', 'polyA_site_00355_+_readcount_9', 'ORF_000671', '+'],
 ['c_000000000012', 'polyA_site_00356_+_readcount_3', 'ORF_000676', '+'],
 ['c_000000000012', 'polyA_site_00357_+_readcount_1', 'ORF_000678', '+'],
 ['c_000000000012', 'polyA_site_00358_+_readcount_10', 'ORF_000685', '+'],
 ['c_000000000012', 'polyA_site_00359_+_readcount_22', 'ORF_000694', '+'],
 ['c_000000000012', 'polyA_site_00360_+_readcount_1', 'ORF_000694', '+'],
 ['c_000000000012', 'polyA_site_00361_+_readcount_109', 'ORF_000697', '+'],
 ['c_000000000012', 'polyA_site_00362_+_readcount_49', 'ORF_000700', '+'],
 ['c_000000000012', 'polyA_site_00364_+_readcount_3', 'ORF_000704', '+'],
 ['c_000000000012', 'polyA_site_00365_+_readcount_1', 'ORF_000706', '+'],
 ['c_000000000012', 'polyA_site_00366_+_readcount_2', 'ORF_000708', '+'],
 ['c_000000000012', 'polyA_site_00367_+_readcount_3', 'ORF_000709', '+'],
 ['c_000000000012', 'polyA_site_00368_+_readcount_1', 'ORF_000716', '+'],
 ['c_000000000012', 'polyA_site_00370_+_readcount_7', 'ORF_000720', '+'],
 ['c_000000000012', 'polyA_site_00371_+_readcount_2', 'ORF_000721', '+'],
 ['c_000000000012', 'polyA_site_00372_+_readcount_2', 'ORF_000725', '+'],
 ['c_000000000012', 'polyA_site_00373_+_readcount_7', 'ORF_000725-b', '+'],
 ['c_000000000012', 'polyA_site_00374_+_readcount_2', 'ORF_000725-b', '+'],
 ['c_000000000012', 'polyA_site_00376_+_readcount_1', 'ORF_000728', '+'],
 ['c_000000000012', 'polyA_site_00379_+_readcount_4', 'ORF_000737', '+'],
 ['c_000000000012', 'polyA_site_00380_+_readcount_1', 'ORF_000740', '+'],
 ['c_000000000012', 'polyA_site_00381_+_readcount_1', 'ORF_000742', '+'],
 ['c_000000000012', 'polyA_site_00382_+_readcount_19', 'ORF_000743', '+'],
 ['c_000000000012', 'polyA_site_00383_+_readcount_24', 'ORF_000745', '+'],
 ['c_000000000012', 'polyA_site_00384_+_readcount_2', 'ORF_000746', '+'],
 ['c_000000000012', 'polyA_site_00386_+_readcount_1', 'ORF_000751', '+'],
 ['c_000000000012', 'polyA_site_00387_+_readcount_20', 'ORF_000751', '+'],
 ['c_000000000012', 'polyA_site_00388_+_readcount_2', 'ORF_000754', '+'],
 ['c_000000000012', 'polyA_site_00389_+_readcount_1', 'ORF_000755', '+'],
 ['c_000000000012', 'polyA_site_00390_+_readcount_5', 'ORF_000756-b', '+'],
 ['c_000000000012', 'polyA_site_00391_+_readcount_1', 'ORF_000760', '+'],
 ['c_000000000012', 'polyA_site_00394_+_readcount_9', 'ORF_000764', '+'],
 ['c_000000000012', 'polyA_site_00395_+_readcount_1', 'ORF_000764', '+'],
 ['c_000000000012', 'polyA_site_00397_+_readcount_7', 'ORF_000767', '+'],
 ['c_000000000012', 'polyA_site_00398_+_readcount_1', 'ORF_000767', '+'],
 ['c_000000000012', 'polyA_site_00400_+_readcount_5', 'ORF_000772', '+'],
 ['c_000000000012', 'polyA_site_00401_+_readcount_1', 'ORF_000773', '+'],
 ['c_000000000012', 'polyA_site_00402_+_readcount_1', 'ORF_000773', '+'],
 ['c_000000000012', 'polyA_site_00403_+_readcount_1', 'ORF_000773-d', '+'],
 ['c_000000000012', 'polyA_site_00404_+_readcount_81', 'ORF_000775', '+'],
 ['c_000000000012', 'polyA_site_00405_+_readcount_2', 'ORF_000775', '+'],
 ['c_000000000012', 'polyA_site_00406_+_readcount_19', 'ORF_000781', '+'],
 ['c_000000000012', 'polyA_site_00407_+_readcount_25', 'ORF_000782', '+'],
 ['c_000000000012', 'polyA_site_00408_+_readcount_4', 'ORF_000783', '+'],
 ['c_000000000012', 'polyA_site_00411_+_readcount_3', 'ORF_000791', '+'],
 ['c_000000000012', 'polyA_site_00414_+_readcount_1', 'ORF_000802', '+'],
 ['c_000000000012', 'polyA_site_00415_+_readcount_1', 'ORF_000805', '+'],
 ['c_000000000012', 'polyA_site_00416_+_readcount_1', 'ORF_000805', '+'],
 ['c_000000000012', 'polyA_site_00417_+_readcount_1', 'ORF_000806', '+'],
 ['c_000000000012', 'polyA_site_00418_+_readcount_1', 'ORF_000806', '+'],
 ['c_000000000012', 'polyA_site_00419_+_readcount_15', 'ORF_000809', '+'],
 ['c_000000000012', 'polyA_site_00420_+_readcount_2', 'ORF_000809', '+'],
 ['c_000000000012', 'polyA_site_00421_+_readcount_1', 'ORF_000812', '+'],
 ['c_000000000012', 'polyA_site_00422_+_readcount_40', 'ORF_000813', '+'],
 ['c_000000000012', 'polyA_site_00423_+_readcount_1', 'ORF_000813', '+'],
 ['c_000000000012', 'polyA_site_00424_+_readcount_6', 'ORF_000820', '+'],
 ['c_000000000012', 'polyA_site_00426_+_readcount_4', 'ORF_000827', '+'],
 ['c_000000000012', 'polyA_site_00427_+_readcount_1', 'ORF_000829', '+'],
 ['c_000000000012', 'polyA_site_00428_+_readcount_8', 'ORF_000831', '+'],
 ['c_000000000012', 'polyA_site_00429_+_readcount_3', 'ORF_000832', '+'],
 ['c_000000000012', 'polyA_site_00430_+_readcount_2', 'ORF_000837', '+'],
 ['c_000000000012', 'polyA_site_00432_+_readcount_1', 'ORF_000842', '+'],
 ['c_000000000012', 'polyA_site_00435_+_readcount_7', 'ORF_000856', '+'],
 ['c_000000000012', 'polyA_site_00436_+_readcount_126', 'ORF_000856', '+'],
 ['c_000000000012', 'polyA_site_00437_+_readcount_5', 'ORF_000856', '+'],
 ['c_000000000012', 'polyA_site_00438_+_readcount_6', 'ORF_000856', '+'],
 ['c_000000000012', 'polyA_site_00439_+_readcount_1', 'ORF_000856', '+'],
 ['c_000000000012', 'polyA_site_00440_+_readcount_1', 'ORF_000856', '+'],
 ['c_000000000012', 'polyA_site_00441_+_readcount_17', 'ORF_000859', '+'],
 ['c_000000000012', 'polyA_site_00443_+_readcount_7', 'ORF_000863', '+'],
 ['c_000000000012', 'polyA_site_00444_+_readcount_13', 'ORF_000866', '+'],
 ['c_000000000012', 'polyA_site_00445_+_readcount_1', 'ORF_000870', '+'],
 ['c_000000000012', 'polyA_site_00446_+_readcount_1', 'ORF_000873', '+'],
