[['c_000000000699', 'polyA_site_00001_+_readcount_1', 'FUN_006903', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00116_+_readcount_3', 'ORF_000220', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00117_+_readcount_1', 'ORF_000221', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00118_+_readcount_1', 'ORF_000222', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00119_+_readcount_9', 'ORF_000222', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00120_+_readcount_9', 'ORF_000227', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00122_+_readcount_14', 'ORF_000229', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00123_+_readcount_7', 'ORF_000231', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00124_+_readcount_1', 'ORF_000231', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00125_+_readcount_70', 'ORF_000231', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00126_+_readcount_1', 'ORF_000235', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00127_+_readcount_4', 'ORF_000235', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00128_+_readcount_1', 'ORF_000236', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00130_+_readcount_2', 'ORF_000237', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00131_+_readcount_33', 'ORF_000239', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00133_+_readcount_32', 'ORF_000241', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00134_+_readcount_15', 'ORF_000250', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00135_+_readcount_1', 'ORF_000253', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00136_+_readcount_1', 'ORF_000255', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00139_+_readcount_1', 'ORF_000260', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00140_+_readcount_4', 'ORF_000260', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00141_+_readcount_68', 'ORF_000260', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00142_+_readcount_3', 'ORF_000260', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00143_+_readcount_32', 'ORF_000261', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00144_+_readcount_5', 'ORF_000261-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00145_+_readcount_4', 'ORF_000261-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00146_+_readcount_57', 'ORF_000261-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00147_+_readcount_43', 'ORF_000264', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00148_+_readcount_20', 'ORF_000265', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00149_+_readcount_1', 'ORF_000265', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00153_+_readcount_23', 'ORF_000267-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00155_+_readcount_80', 'ORF_000270', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00156_+_readcount_1', 'ORF_000270', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00157_+_readcount_1', 'ORF_000271', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00159_+_readcount_6', 'ORF_000273', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00161_+_readcount_3', 'ORF_000277', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00162_+_readcount_14', 'ORF_000279-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00163_+_readcount_1', 'ORF_000282', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00164_+_readcount_9', 'ORF_000287', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00165_+_readcount_2', 'ORF_000288', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00166_+_readcount_1', 'ORF_000288', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00167_+_readcount_7', 'ORF_000288', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00168_+_readcount_2', 'ORF_000292', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00169_+_readcount_2', 'ORF_000292', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00170_+_readcount_17', 'ORF_000293', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00171_+_readcount_16', 'ORF_000294', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00172_+_readcount_5', 'ORF_000295', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00173_+_readcount_1', 'ORF_000296', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00174_+_readcount_24', 'ORF_000297', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00176_+_readcount_54', 'ORF_000299', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00177_+_readcount_319', 'ORF_000300-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00178_+_readcount_3', 'ORF_000300-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00179_+_readcount_1', 'ORF_000306', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00180_+_readcount_10', 'ORF_000306', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00181_+_readcount_1', 'ORF_000310', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00182_+_readcount_35', 'ORF_000311', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00183_+_readcount_14', 'ORF_000312', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00185_+_readcount_9', 'ORF_000317', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00187_+_readcount_44', 'ORF_000327', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00188_+_readcount_2', 'ORF_000341', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00189_+_readcount_5', 'ORF_000342', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00190_+_readcount_2', 'ORF_000344', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00192_+_readcount_1', 'ORF_000345', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00193_+_readcount_41', 'ORF_000348', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00194_+_readcount_16', 'ORF_000349', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00195_+_readcount_1', 'ORF_000349', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00196_+_readcount_12', 'ORF_000351', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00197_+_readcount_4', 'ORF_000354', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00198_+_readcount_1', 'ORF_000358', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00200_+_readcount_22', 'ORF_000364', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00204_+_readcount_1', 'ORF_000375', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00205_+_readcount_8', 'ORF_000377', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00206_+_readcount_13', 'ORF_000378', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00207_+_readcount_1', 'ORF_000379', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00208_+_readcount_2', 'ORF_000386', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00209_+_readcount_1', 'ORF_000387', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00210_+_readcount_1', 'ORF_000387', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00211_+_readcount_14', 'ORF_000387', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00212_+_readcount_56', 'ORF_000391', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00214_+_readcount_2', 'ORF_000396-c', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00215_+_readcount_17', 'ORF_000399', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00216_+_readcount_2', 'ORF_000399', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00217_+_readcount_26', 'ORF_000399-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00218_+_readcount_1', 'ORF_000399-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00219_+_readcount_1', 'ORF_000399-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00220_+_readcount_5', 'ORF_000401', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00221_+_readcount_3', 'ORF_000403', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00224_+_readcount_3', 'ORF_000406', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00227_+_readcount_16', 'ORF_000412', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00229_+_readcount_3', 'ORF_000416', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00230_+_readcount_328', 'ORF_000417-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00231_+_readcount_1', 'ORF_000417-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00232_+_readcount_1', 'ORF_000417-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00233_+_readcount_3', 'ORF_000418', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00234_+_readcount_14', 'ORF_000418', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00235_+_readcount_2', 'ORF_000420', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00236_+_readcount_3', 'ORF_000422', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00237_+_readcount_5', 'ORF_000424', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00238_+_readcount_1', 'ORF_000424', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00239_+_readcount_66', 'ORF_000426', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00240_+_readcount_2', 'ORF_000431', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00241_+_readcount_38', 'ORF_000435', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00244_+_readcount_4', 'ORF_000441', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00245_+_readcount_7', 'ORF_000441', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00247_+_readcount_9', 'ORF_000443', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00248_+_readcount_1', 'ORF_000444', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00249_+_readcount_13', 'ORF_000444', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00250_+_readcount_3', 'ORF_000447', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00251_+_readcount_49', 'ORF_000448', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00252_+_readcount_1', 'ORF_000448', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00253_+_readcount_2', 'ORF_000452', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00255_+_readcount_3', 'ORF_000456', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00256_+_readcount_1', 'ORF_000457', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00257_+_readcount_1', 'ORF_000460', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00258_+_readcount_14', 'ORF_000460-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00259_+_readcount_5', 'ORF_000460-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00260_+_readcount_3', 'ORF_000463', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00262_+_readcount_12', 'ORF_000468', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00263_+_readcount_4', 'FUN_007460', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00264_+_readcount_2', 'ORF_000477', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00265_+_readcount_53', 'ORF_000479', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00266_+_readcount_2', 'ORF_000479', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00267_+_readcount_14', 'ORF_000480', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00271_+_readcount_55', 'ORF_000482-d', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00272_+_readcount_1', 'ORF_000482-d', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00273_+_readcount_2', 'ORF_000483', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00277_+_readcount_2', 'ORF_000491', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00278_+_readcount_3', 'ORF_000500-b', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00279_+_readcount_3', 'ORF_000501', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00280_+_readcount_16', 'ORF_000502', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00285_+_readcount_16', 'ORF_000506', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00286_+_readcount_3', 'ORF_000513', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00287_+_readcount_1', 'ORF_000517', '+', 'yes'],
 ['c_000000000699', 'polyA_site_00288_+_readcount_39', 'ORF_000519', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00291_+_readcount_2', 'ORF_000530', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00295_+_readcount_1', 'ORF_000537', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00296_+_readcount_3', 'ORF_000539', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00297_+_readcount_2', 'ORF_000543', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00298_+_readcount_4', 'ORF_000547', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00299_+_readcount_3', 'ORF_000548', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00300_+_readcount_2', 'ORF_000549-b', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00301_+_readcount_91', 'ORF_000550', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00302_+_readcount_3', 'ORF_000557', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00303_+_readcount_6', 'ORF_000559', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00306_+_readcount_7', 'ORF_000572', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00308_+_readcount_45', 'ORF_000575', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00309_+_readcount_1', 'ORF_000575', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00310_+_readcount_12', 'ORF_000577', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00311_+_readcount_1', 'ORF_000582', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00312_+_readcount_1', 'ORF_000583', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00313_+_readcount_3', 'ORF_000584', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00314_+_readcount_7', 'ORF_000585', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00315_+_readcount_6', 'ORF_000587', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00316_+_readcount_1', 'ORF_000588', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00317_+_readcount_6', 'ORF_000588', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00318_+_readcount_21', 'ORF_000592', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00319_+_readcount_1', 'ORF_000593', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00320_+_readcount_2', 'ORF_000599', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00321_+_readcount_1', 'ORF_000599', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00323_+_readcount_11', 'ORF_000606', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00325_+_readcount_6', 'ORF_000610', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00326_+_readcount_2', 'ORF_000611', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00327_+_readcount_2', 'ORF_000612-b', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00328_+_readcount_60', 'ORF_000612-b', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00329_+_readcount_1', 'ORF_000613', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00330_+_readcount_1', 'ORF_000613', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00331_+_readcount_10', 'ORF_000614', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00332_+_readcount_2', 'ORF_000616', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00333_+_readcount_4', 'ORF_000620', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00334_+_readcount_20', 'ORF_000624', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00335_+_readcount_2', 'ORF_000627', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00336_+_readcount_3', 'ORF_000628', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00338_+_readcount_1', 'ORF_000633', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00339_+_readcount_3', 'ORF_000635', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00341_+_readcount_1', 'ORF_000637-b', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00342_+_readcount_1', 'ORF_000638', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00343_+_readcount_1', 'ORF_000638', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00345_+_readcount_1', 'ORF_000644', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00346_+_readcount_9', 'ORF_000645-b', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00347_+_readcount_1', 'ORF_000645-b', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00348_+_readcount_10', 'ORF_000647', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00349_+_readcount_1', 'ORF_000648', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00351_+_readcount_4', 'ORF_000653', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00354_+_readcount_1', 'ORF_000667', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00355_+_readcount_9', 'ORF_000671', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00356_+_readcount_3', 'ORF_000676', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00357_+_readcount_1', 'ORF_000678', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00358_+_readcount_10', 'ORF_000685', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00359_+_readcount_22', 'ORF_000694', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00360_+_readcount_1', 'ORF_000694', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00361_+_readcount_109', 'ORF_000697', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00362_+_readcount_49', 'ORF_000700', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00364_+_readcount_3', 'ORF_000704', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00365_+_readcount_1', 'ORF_000706', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00366_+_readcount_2', 'ORF_000708', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00367_+_readcount_3', 'ORF_000709', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00368_+_readcount_1', 'ORF_000716', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00370_+_readcount_7', 'ORF_000720', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00371_+_readcount_2', 'ORF_000721', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00372_+_readcount_2', 'ORF_000725', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00373_+_readcount_7', 'ORF_000725-b', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00374_+_readcount_2', 'ORF_000725-b', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00376_+_readcount_1', 'ORF_000728', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00379_+_readcount_4', 'ORF_000737', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00380_+_readcount_1', 'ORF_000740', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00381_+_readcount_1', 'ORF_000742', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00382_+_readcount_19', 'ORF_000743', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00383_+_readcount_24', 'ORF_000745', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00384_+_readcount_2', 'ORF_000746', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00386_+_readcount_1', 'ORF_000751', '+', 'yes'],
 ['c_000000000012', 'polyA_site_00387_+_readcount_20', 'ORF_000751', '+', 'yes'],
